0.49476,-0.0046031,0.023015,0.0038359,170.41,-0.7844,-38.246
1.5528,-0.0034523,0.026468,-0.0053702,171.37,-0.59161,-38.874
2.0452,0.02992,0.026084,-0.016494,173.24,5.1849,-38.836
2.3784,0.10664,0.016111,-0.043346,178.57,19.114,-37.036
2.6691,0.16878,0.00038359,-0.093596,188.05,32.043,-33.612
3.0416,0.25585,-0.0080554,-0.16571,197.61,51.693,-30.321
3.2747,0.3318,-0.0080554,-0.25394,206.9,71.287,-27.094
3.4913,0.38589,0.0011508,-0.34523,215.04,87.36,-24.559
3.7095,0.38704,0.0080554,-0.41965,224.76,91.614,-21.552
3.9236,0.40737,0.017261,-0.4557,226.64,97.797,-21.289
4.1315,0.41121,0.017261,-0.45954,226.8,98.9,-21.012
4.3593,0.3997,0.015344,-0.46184,228.52,96.537,-20.37
4.5699,0.39433,0.015344,-0.45685,228.33,95.015,-20.732
4.8149,0.39701,-0.033372,-0.3763,223.48,93.7,-14.433
5.0245,0.36633,-0.10971,-0.22171,213.83,82.036,-5.9078
5.232,0.38014,-0.11584,-0.23361,215.24,86.003,-3.8216
5.443,0.33487,-0.22555,-0.041811,203.33,70.755,10.872
5.665,0.34293,-0.22363,-0.047565,203.41,72.626,10.717
5.8724,0.32068,-0.35405,0.14615,188.94,62.755,30.038
6.0804,0.31493,-0.34408,0.14691,188.17,61.3,28.032
6.2876,0.27158,-0.47488,0.32835,173.74,48.38,47.55
6.5252,0.2781,-0.46529,0.32567,173.04,49.403,45.887
6.7298,0.2244,-0.57807,0.46644,161.28,36.81,62.395
6.9658,0.22862,-0.57193,0.46107,161.56,37.593,61.479
7.1819,0.18719,-0.64405,0.49099,162.85,30.846,72.775
7.4171,0.19218,-0.64136,0.48754,163.1,31.736,72.419
7.6239,0.17146,-0.66591,0.49253,164.37,28.463,76.369
7.8321,0.16648,-0.66975,0.49406,164.48,27.638,76.963
8.0432,0.16609,-0.67013,0.49023,165.14,27.684,77.142
8.2532,0.16303,-0.67051,0.49253,164.87,27.118,77.137
8.4633,0.16533,-0.6709,0.49099,165.08,27.543,77.248
8.6813,0.1684,-0.63944,0.48639,163.88,27.861,72.13
8.9226,0.16878,-0.63676,0.49138,162.88,27.755,71.559
9.1615,0.16341,-0.55314,0.49406,156.78,25.85,57.953
9.3674,0.06521,-0.55429,0.49368,158.71,10.364,58.14
9.5753,0.081321,-0.45187,0.4511,157.04,12.799,42.133
9.779,0.12121,-0.43537,0.4488,155.25,18.912,39.541
9.9842,0.064059,-0.3318,0.36211,160,10.263,22.804
10.193,0.11086,-0.30035,0.33027,161.11,17.933,17.57
10.4,0.038742,-0.19218,0.24857,162.12,6.2839,-0.58643
10.605,0.021481,-0.17453,0.22747,163.35,3.5094,-3.6545
10.824,-0.0015344,-0.10472,0.11968,171.51,-0.26316,-15.969
11.033,-0.0088225,-0.0076718,0.044496,168.76,-1.4889,-32.823
11.25,0.0042195,-0.0049867,0.046031,168.05,0.70909,-33.265
11.464,0.0057538,0.016494,0.0080554,170.82,0.98287,-37.115
