-284.75,-4.918,0.51502,-53,1.6393,0.46056,19,-22.953,0.50159,0,0,0,0,0,0
-284.75,-4.918,0.51502,-53,1.6393,0.46056,19,-22.953,0.50159,0,0,0,0,0,0
-284,1.6393,0.51355,-53.5,-3.2787,0.45934,17.5,0,0.5011,0,0,0,0,0,0
-285,0,0.51477,-53.75,1.6392,0.45812,19.25,3.2787,0.50159,0,0,0,0,0,0
-284.75,-3.2787,0.51624,-51.5,-4.9185,0.45861,18.5,-8.1967,0.50281,0,0,0,0,0,0
-284.25,3.2784,0.51624,-53.5,-6.5567,0.45861,17.25,-9.8361,0.50085,0,0,0,0,0,0
-285.75,4.9185,0.51453,-52.75,6.5574,0.45958,15.75,8.1959,0.5011,0,0,0,0,0,0
-284,-1.6393,0.51624,-53.5,0,0.45885,16.75,1.6393,0.50281,0,0,0,0,0,0
-285.5,9.8351,0.516,-53.5,-3.2787,0.46081,17.5,1.6393,0.50281,0,0,0,0,0,0
-283.75,-1.6395,0.51453,-53.25,0,0.46032,18.25,-11.474,0.50159,0,0,0,0,0,0
-242,240.96,0.51502,-35.75,-3.2787,0.51477,-31,-4.9185,0.50354,0,0,0,0,0,0
86.25,1426.4,0.49988,141.25,857.38,0.49377,-12.5,-127.86,0.50476,0,0,0,0,0,0
201,1532.8,0.52332,204,673.84,0.50403,-23.75,27.869,0.50696,0,0,0,0,0,0
204.25,18.031,0.50965,206.5,-11.475,0.4884,-21.75,-22.951,0.50159,0,0,0,0,0,0
191,9.8371,0.51941,207,14.753,0.49255,-23.5,-22.948,0.50672,0,0,0,0,0,0
193.25,-22.951,0.51648,204.75,-6.558,0.4967,-22.5,21.311,0.50354,0,0,0,0,0,0
194.25,3.2787,0.51306,205.75,-9.8351,0.49353,-25,-1.6393,0.5033,0,0,0,0,0,0
194.25,-1.6393,0.51233,206.5,13.115,0.49621,-22.5,4.9175,0.50379,0,0,0,0,0,0
195.75,8.1967,0.51551,206,-4.918,0.49158,-22.75,-4.918,0.50403,0,0,0,0,0,0
195.75,6.5567,0.51233,205.25,3.2784,0.49524,-21.75,8.1967,0.50452,0,0,0,0,0,0
196,1.6393,0.51502,204.75,-6.558,0.49719,-22,6.5574,0.50427,0,0,0,0,0,0
196.5,8.1959,0.51453,205.75,16.393,0.48376,-23.25,-3.279,0.50281,0,0,0,0,0,0
194.75,-8.1976,0.516,206,-3.2787,0.51013,-21.25,1.6392,0.50525,0,0,0,0,0,0
195.25,0,0.51355,206.25,-9.8371,0.49573,-23.5,-13.115,0.50427,0,0,0,0,0,0
196.75,3.2784,0.51404,205.25,-4.918,0.49695,-22.25,18.033,0.50452,0,0,0,0,0,0
195.5,-4.9185,0.51502,206,0,0.49524,-21.5,-14.753,0.50501,0,0,0,0,0,0
195.25,-1.6393,0.51306,205.5,9.8371,0.49817,-23.5,-8.1967,0.50403,0,0,0,0,0,0
195.25,3.2784,0.51526,205.25,1.6393,0.50647,-24.5,0,0.50452,0,0,0,0,0,0
194.5,-8.1967,0.51306,205.25,3.279,0.49524,-23.25,6.5574,0.50379,0,0,0,0,0,0
196.5,-8.1967,0.51453,206.25,-4.918,0.49499,-21.5,-6.558,0.50452,0,0,0,0,0,0
194.75,11.477,0.51355,205.5,-1.6393,0.49597,-21.25,-3.2784,0.50403,0,0,0,0,0,0
195.75,-9.8361,0.51355,206.25,4.9185,0.49548,-21.75,3.2787,0.50354,0,0,0,0,0,0
196.5,-3.2784,0.51551,205,14.754,0.49963,-21.75,-4.9185,0.50256,0,0,0,0,0,0
196,3.2787,0.52503,206.25,3.279,0.49328,-23,-6.5567,0.50354,0,0,0,0,0,0
196.5,-9.8361,0.51551,206,3.2787,0.49475,-23,-3.279,0.50476,0,0,0,0,0,0
196,3.2784,0.51429,205.5,-8.1959,0.49573,-23.5,-3.2787,0.50403,0,0,0,0,0,0
194.5,6.5574,0.51306,206.25,0,0.4967,-22,0,0.50379,0,0,0,0,0,0
195.5,4.9175,0.51306,205.25,-3.2784,0.49646,-23,-16.393,0.5033,0,0,0,0,0,0
195.25,-4.9185,0.51404,205.5,-9.8361,0.49646,-25,3.2784,0.50525,0,0,0,0,0,0
195.25,-3.2787,0.51429,206.25,0,0.49695,-22.75,9.8371,0.50867,0,0,0,0,0,0
194.5,3.2784,0.51306,205.25,-4.918,0.4967,-24.5,-1.6393,0.50549,0,0,0,0,0,0
196,-4.918,0.51575,206.25,6.5567,0.4967,-23.5,9.8351,0.50452,0,0,0,0,0,0
195.5,6.5567,0.51551,205.75,3.2784,0.49597,-22,-3.279,0.49963,0,0,0,0,0,0
